Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Files\FileEntityNode.cs	411		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Files\FileEntityNode.cs	420		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'LoadFilesDialog' and no accessible extension method 'LoadFilesDialog' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\NodesHelpers.cs	30		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'SelectFolderDialog' and no accessible extension method 'SelectFolderDialog' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\NodesHelpers.cs	304		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\NodesHelpers.cs	380		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\NodesHelpers.cs	663		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Project\ProjectFolderNode.cs	139		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Project\ProjectProjectNode.cs	200		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'SelectFolderDialog' and no accessible extension method 'SelectFolderDialog' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Project\ProjectRootBranch.cs	151		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\Project\ProjectRootBranch.cs	156		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\WebAPI\WebApiEntities.cs	192		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBoxYesNo' and no accessible extension method 'InputBoxYesNo' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\WebAPI\WebApiNode.cs	149		
